ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.10.1;124;Asteraceae               ;10;Gnaphalium;1;sylvaticum;;;v;H;N;Y;Eurosib./N-Am.;Gnaphalium sylvaticum L.;;;;;;x;x;x;x;;;;1;2;2;1;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;(Epilobietea angustifolii);2.6, 6.4, 7.1, (7.2. 9.1.1?);1;2;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.10.5;124;Asteraceae               ;10;Gnaphalium;5;uliginosum;;;a;T;N;Y;Eurasiat.;Gnaphalium uliginosum L.;;;;;;x;x;x;x;x;;;2;2;0;0;0;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;-;+;+;+;-;-;+;+;;+;+;+;+;+;;+;+;+;;+;+;;+;+;+;+;-;+;(Nanocyperetalia flavescentis);1.4, 2.1.1, 2.5.1, 2.6;2;2;2;0;0;1;2;0;1;0;1;2;0;2;4;0;1;2
124.11.2;124;Asteraceae               ;11;Helichrysum;2;italicum;;;t;C;N;Y;S-Eur.;Helichrysum italicum (Roth) G. Don;;;;;;x;x;;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;-;-;;;-;-;+;-;-;-;;+;;;-;-;;-;;-;-;;;-;-;-;[Rosmarinetea];3.2, (3.3), 6.2, 7.3;2;2;2;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.11.1;124;Asteraceae               ;11;Helichrysum;1;stoechas;;;t;C;N;Y;Medit.;Helichrysum stoechas (L.) Moench;;;;x;x;x;x;;;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;D;-;+;+;-;-;-;-;-;-;+;-;;-;-;-;;-;-;-;-;-;-;-;-;-;(Rosmarinetea);(3.1, 3.2), 6.2, 7.3;2;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.16.12;124;Asteraceae               ;16;Inula;12;bifrons;;;b, v;H;N;Y;S-Eur.;Inula bifrons (L.) L.;;;;;;;x;x;x;;;;2;2;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;+;;-;-;;-;;-;+;+;+;;-;-;;-;;-;-;;;-;-;-;(Geranion sanguinei);2.1, (2.2, 3.2, 3.3), 6.2, 6.7, 7.4.2, 9.3;2;2;1;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.16.8;124;Asteraceae               ;16;Inula;8;britannica;;;b, v;H;N;Y;E-Eur./W-Asiat.;Inula britannica L.;;;;;;x;x;x;x;;;;2;2;0;0;0;+;;+;;;;-;+;-;-;-;-;-;+;-;+;-;+;-;-;+;+;-;-;+;+;;-;;-;-;;;-;;;-;+;D;;+;;+;-;-;;+;;;+;;;+;+;+;(Potentillion anserinae);(1.3), 1.4, 2.2, 2.5.1, 6.3.2, 7.4.1;2;2;0;0;0;1;2;0;1;2;4;2;1;2;1;0;0;0
124.16.11;124;Asteraceae               ;16;Inula;11;conyzae;;;b, v;H;N;Y;Eurasiat./N-Afr.;Inula conyzae (Griess.) Meikle;;;;;;x;x;x;x;x;;;2;2;0;0;0;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;;+;+;+;+;(Origanetalia vulgaris);(2.1.2), 2.6, (3.2, 6.2), 6.7, 7.4.2, 9.1.1, 9.2.4, 9.3;2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.16.7;124;Asteraceae               ;16;Inula;7;ensifolia;;;v;H;N;Y;E-Eur.;Inula ensifolia L.;;;;;;;x;x;;;;;2;2;0;0;0;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;;+;-;;+;-;-;+;;+;+;;;+;+;+;(Festuco-Brometea);"(2.5.2, 3.2), 6.2, 6.7, (7.4.2, 9.3); (2.9.2)";2;2;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.16.1;124;Asteraceae               ;16;Inula;1;helenium;;;v;H;N;N;SE-Eur./W-Asiat.;Inula helenium L.;;;;;;;x;x;x;x;;;2;2;0;0;0;-;+;+;+;;+;+;+;-;;-;;;;;;;;;;;;-;+;+;+;+;+;+;+;+;-;;-;-;;-;;-;;+;+;;-;-;;-;;-;-;;;-;-;+; - [Convolvuletalia sepium];"2.2, 2.3, 2.5.1, (2.7), 6.3.2,  (7.2, 7.4.2, 9.2.2); 2.9";2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.16.14;124;Asteraceae               ;16;Inula;14;graveolens;;;a;T;N;;Medit.;Inula graveolens (L.) Desf.;;;;;;;;x;x;x;x;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;;-;;;;;;;;;;;;-;-;-;-;;-;+;+;+;+;;-;+;;-;+;-;;;;;-;-;;-;;-;-;;;-;-;-;(Stellarietea mediae);2.1, 2.2, 2.5.2;2;2;2;1;2;1;0;0;0;1;2;1;2;4;2;1;2;1
124.16.2;124;Asteraceae               ;16;Inula;2;helvetica;;;v;H;N;Y;SW-Eur.;Inula helvetica Weber;;;;;;;x;x;x;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;D;-;-;-;-;-;-;-;-;+;;+;-;-;+;+;+;+;+;+;+;-;;-;-;-;-;-;-;+;;-;;-;-;-;-;;-;-;-;;-;-;-;(Convolvuletalia sepium);2.3, 2.5.1, (5.1, 6.3.2),7.2, (7.5, 9.2.2);2;2;1;0;0;1;2;0;1;2;4;2;1;2;1;0;0;0
124.16.6;124;Asteraceae               ;16;Inula;6;hirta;;;v;H;N;Y;E-Eur./W-Asiat.;Inula hirta L.;;;;;x;x;x;x;;;;;2;2;0;0;0;+;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;;;+;+;;-;-;+;;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;(Geranion sanguinei);2.6, 6.2, 6.7, 7.4.2, 9.1.1, 9.2.3;2;2;1;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.16.10;124;Asteraceae               ;16;Inula;10;montana;;;v;H;N;Y;Medit.;Inula montana L.;;;;;;x;x;x;;;;;2;2;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;+;+;-;;-;+;;+;+;-;-;;-;+;-;-;;;-;-;-;(Ononidetalia);(2.5.2), 3.2, (3.3), 6.2, 6.7;2;2;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.16.4;124;Asteraceae               ;16;Inula;4;salicina;;;v;H;N;Y;Eurasiat.;Inula salicina L.;;;;;;x;x;x;x;;;;2;2;0;0;0;+;+;+;+;+;+;+;+;+;-;+;-;-;+;+;+;+;+;-;+;;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;(Molinion);1.4, (2.6), 5.1, 6.2, 6.3.2, 6.7, (7.4.2, 9.1.1, 9.2.2, 9.3);2;2;1;0;1;2;1;0;1;4;2;0;2;1;0;0;0;0
124.16.5;124;Asteraceae               ;16;Inula;5;spiraeifolia;;;v;H;N;Y;S-Eur.;Inula spiraeifolia L.;;;;;;x;x;x;x;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+;+;+;-;-;+;;-;+;+;+;+;-;+;+;;;+;-;+;+;+;+;+;+;;+;+;;(Geranion sanguinei);3.1, 3.2, (3.5), 6.2, 6.7, 7.4.2, 9.3;2;1;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.16.9;124;Asteraceae               ;16;Inula;9;oculus-christi;;;v;H;N;Y;SE-Eur./SW-Asiat.;Inula oculus-christi L.;;;;;;x;x;x;;;;;2;0;0;0;0;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Festucetalia valesiacae);6.2, (6.7);2;1;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.16.13;124;Asteraceae               ;16;Inula;13;viscosa;;;v;H;N;Y;Medit.;Inula viscosa (L.) Aiton;;;;;;;;x;x;x;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;+;+;+;;-;-;;;-;-;;-;+;-;;;+;;-;-;;-;;-;-;;;-;-;;(Lygeo-Stipetea);1.4, 2.1.2, 2.2, 2.5.2, 6.2, 7.3;2;2;1;2;1;0;0;0;1;4;2;0;2;1;0;0;0;0
124.17.2;124;Asteraceae               ;17;Pulicaria;2;dysenterica;;;v;H;N;Y;Medit.;Pulicaria dysenterica (L.) Bernh.;;;;;;;x;x;x;x;;;2;2;0;0;0;+;+;+;+;+;?;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;;;+;+;+;(Potentillo-Polygonetalia);1.4, (2.2), 2.5.1, 6.3.2, 7.2, (9.2.2);2;2;2;0;0;1;2;0;1;1;2;1;2;4;2;1;2;1
124.17.1;124;Asteraceae               ;17;Pulicaria;1;odora;;;v;H;N;Y;Medit.;Pulicaria odora (L.) Rchb.;;;;;;x;x;x;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;+;-;;;-;-;;-;;-;-;-;;-;-;-;(Quercetea ilicis);2.6, 7.4.2, 7.6, 9.4;1;1;2;2;1;0;0;0;0;0;0;0;2;1;0;4;2;0
124.17.3;124;Asteraceae               ;17;Pulicaria;3;vulgaris;;;a;T;N;Y;Eurasiat.;Pulicaria vulgaris Gaertn.;;;;;;;;x;x;;;;2;0;0;0;0;+;D;;D;-;-;-;D;-;-;-;-;-;-;-;-;-;;-;-;;;-;-;;-;;;+;D;-;;;-;;;;;D;;+;;+;-;+;;-;+;;-;;+;+;;+;(Bidentetea tripartitae);1.4, (2.2, 9.2.2);0;1;2;0;0;1;2;0;1;0;0;0;0;1;2;0;2;4
124.18.1;124;Asteraceae               ;18;Carpesium;1;cernuum;;;a, b;T, H;N;Y;S-Eur./W-Asiat.;Carpesium cernuum L.;;;;;;;x;x;x;x;;;2;1;0;0;0;-;+;+;-;-;-;-;D;-;-;D;-;-;+;-;+;-;+;-;-;;+;-;-;-;;+;-;+;D;?;-;-;-;;;+;+;+;+;+;+;+;+;;;+;+;+;+;;+;+;+;+;(Galio-Alliarietalia);(1.4, 2.2), 2.3, 2.6, (7.4.2);2;1;0;0;1;2;1;0;0;0;2;4;0;1;2;0;0;0
124.18.2;124;Asteraceae               ;18;Carpesium;2;abrotanoides;;;v;H;N;Y;Eurasiat.;Carpesium abrotanoides L.;;;;;;;;x;x;x;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;(Convolvulion sepium);1.4, 2.2, (3.2), 6.7, 7.4.2;2;2;2;0;0;1;2;0;0;0;1;2;0;2;4;0;1;2
124.21.1;124;Asteraceae               ;21;Pallenis;1;spinosa;;;a, b;T, H;N;Y;Medit.;Pallenis spinosa (L.) Cass.;;;;;;x;x;x;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;;+;+;-;-;-;+;;-;-;+;;-;-;+;;+;-;-;-;;-;-;-;-;;-;-;;-;(Brachypodietalia phoenicoidis);2.1, 2.2, (2.6), 6.2, 7.3, (9.3);2;2;2;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.19.1;124;Asteraceae               ;19;Buphthalmum;1;salicifolium;;;v;H;N;Y;S-Eur.-Mont.;Buphthalmum salicifolium L.;;;;;;x;x;x;x;;;;2;2;2;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Geranion sanguinei);(3.2, 3.3, 5.1), 6.2, (6.3.2, 6.5.1), 6.7, (7.1, 7.4.2, 8.2, 9.1.1, 9.2.3), 9.3;2;2;1;1;2;1;0;0;1;4;2;0;2;1;0;0;0;0
124.20.1;124;Asteraceae               ;20;Telekia;1;speciosa;;;v;H;N;N;SE-Eur.-Mont.;Telekia speciosa (Schreb.) Baumg.;;;;;;x;x;x;;;;;1;2;0;0;0;-;+;+;+;+;-;+;+;+;-;-;-;+;-;-;-;-;-;-;-;+;;;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+; - [Filipendulo-Petasition];"2.5.1, (2.6, 2.7), 6.3.2, 7.2, 7.4.2, 9.2.2; 2.9.2";2;2;1;0;0;1;2;0;1;0;2;4;0;1;2;0;0;0
124.20.2;124;Asteraceae               ;20;Telekia;2;speciosissima;;;v;H;Y;Y;E-Alp.;Telekia speciosissima (L.) Less.;;;;;;x;x;;;;;;2;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;(Physoplexido-Potentillenion caulescentis);3.2, 3.3, 6.2, (7.4.2);2;0;0;1;2;1;0;0;0;4;2;0;0;0;0;0;0;0
124.23.5;124;Asteraceae               ;23;Bidens;5;bipinnata;;;a;T;N;N;N-Am./E-Asiat.;Bidens bipinnata L.;;;;;;;x;x;x;;;;2;0;0;0;0;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;;-;+;-;-;-;-;-;-;+;-;;-;;-;-;;-;-;+;+;+;+;+;;+;;+;;+;;+;+;+;;+;+;+;+;; - [Stellarienea mediae];2.1, 2.2, (3.2, 7.4.2);2;2;2;0;1;2;1;0;1;0;1;2;0;2;4;0;1;2
124.23.3;124;Asteraceae               ;23;Bidens;3;cernua;;;a;T;N;Y;Eurasiat./N-Am.;Bidens cernua L.;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;-;+;-;D;+;+;+;-;+;D;-;;-;+;+;+;-;-;;;+;+;-;-;;-;+;+;D;;-;+;-;;+;;+;+;+;;;-;;;+;+;;-;+;;+;D;+;(Bidention tripartitae);1.3, (2.1.2, 1.4, 2.2, 2.5.1, 5.2, 9.2.2);2;2;2;0;0;0;1;2;1;0;0;2;0;0;4;0;0;2
124.23.4;124;Asteraceae               ;23;Bidens;4;frondosa;;;a;T;N;N;N-Am.;Bidens frondosa L.;;;;;;;;x;x;x;;;2;0;0;0;0;-;+;-;-;-;-;+;+;-;-;;-;-;;-;;-;+;-;-;+;+;-;;;+;;+;;;;;;;+;+;+;+;+;+;+;;+;;+;;+;+;+;+;+;;+;+;+;(Bidentetalia tripartitae);1.4, 2.2, 2.5.1, (9.2.2);2;2;2;0;0;1;2;1;1;0;1;2;0;2;4;0;1;2
124.23.1.1;124;Asteraceae               ;23;Bidens;1;tripartita;1;tripartita;a;T;N;Y;Eurasiat.;Bidens tripartita L. subsp. tripartita;;;;;;;x;x;x;x;;;2;2;0;0;0;+;+;+;+;+;+;+;+;+;-;+;-;;+;+;+;;+;-;;;+;+;;+;+;;+;+;+;+;;;+;;;+;+;+;+;+;+;+;+;+;;+;+;+;+;?;+;+;;+;(Bidentetalia tripartitae);1.3, 1.4, 2.1, 2.2, 2.5.1, (5.2, 9.2.2);2;2;2;0;0;0;1;2;1;0;0;2;0;0;4;0;0;2
124.23.1.2;124;Asteraceae               ;23;Bidens;1;tripartita;2;bullata;a;T;N;Y;Medit.;Bidens tripartita subsp. bullata (L.) Rouy;;;;;;;x;x;x;x;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;-;-;;;-;;;;-;-;;-;-;+;-;-;-;-;;;-;-;;-;;-;(Bidention tripartitae);1.3, 1.4, 2.5.1, 9.2.2;2;2;2;0;0;0;1;2;1;0;1;2;0;2;4;0;1;2
124.24.1;124;Asteraceae               ;24;Rudbeckia;1;hirta;;;a, b, v;H;N;N;N-Am.;Rudbeckia hirta L.;;;;;;;x;x;x;;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;;-;;;;;;;;;;;;-;-;;;;;;+;+;;-;+;+;+;+;-;+;;;;;;-;;;;+;+;;+;-;-;+; - [Galio-Alliarietalia];"2.2, (2.5.1, 5.2, 7.2, 9.2.2); 2.9.2";2;2;2;0;0;1;2;0;1;0;1;2;0;2;4;0;1;2
124.24.2;124;Asteraceae               ;24;Rudbeckia;2;laciniata;;;v;G, H;N;N;N-Am.;Rudbeckia laciniata L.;;;;;;;x;x;x;x;;;2;0;0;0;0;+;+;+;+;+;+;+;+;+;;-;;;+;;;;+;;;;;+;+;;;;;;;+;;-;;;;+;+;+;;+;-;+;+;-;-;+;;+;+;;+;+;-;+; - [Convolvulion sepium];"2.2, 2.5.1, 7.2, (9.2.2); 2.9.2";2;2;2;0;0;1;2;0;1;0;1;2;0;2;4;0;1;2
124.25.1;124;Asteraceae               ;25;Helianthus;1;annuus;;;a;T;N;N;N-Am.;Helianthus annuus L.;;;;;;;x;x;x;x;;;2;1;0;0;0;;+;+;+;+;+;+;+;+;;-;-;;;;;;;;;;;+;+;+;;;;;+;+;;;+;-;+;-;+;+;;;;+;;;;;;-;;+;;+;-;; - [Chenopodio-Stellarienea mediae];"2.2, (2.5); 2.9.1, (2.9.2)";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.25.2;124;Asteraceae               ;25;Helianthus;2;tuberosus;;;v;G;N;N;N-Am.;Helianthus tuberosus L.;;;;;;;;x;x;x;x;;2;0;0;0;0;+;+;+;+;+;+;+;+;+;;-;-;;;;;;+;;;;;+;+;;;;+;+;+;+;;;+;+;+;+;+;+;;+;;+;+;+;;+;+;+;+;+;+;+;+;+; - [Convolvulion sepium];"(2.1), 2.5.1, 7.2, (7.4.2); 2.9.1, (2.9.2)";2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.26.1;124;Asteraceae               ;26;Ambrosia;1;artemisiifolia;;;a;T;N;N;N-Am.;Ambrosia artemisiifolia L.;;;;;;;x;x;x;;;;2;0;0;0;0;+;+;+;+;+;+;+;+;-;;;;;+;+;+;;+;+;;;;+;+;;;-;+;+;+;+;-;;;+;+;+;+;+;+;+;;+;;+;;+;+;+;+;;+;+;+;+;(Chenopodio-Stellarienea mediae);2.1, 2.2, (2.5.2);2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.26.2;124;Asteraceae               ;26;Ambrosia;2;psilostachya;;;v;G;N;N;N-Am.;Ambrosia psilostachya DC.;;;;;;;x;x;x;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;;-;;;;;;;+;;;;+;-;-;;;-;;;-;-;-;;-;-;-;;-;-;;-;;;-;-;;+;;-;-;-;;+;-;-;(Dauco-Melilotion);2.2;2;2;2;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.27.2;124;Asteraceae               ;27;Xanthium;2;italicum;;;a;T;N;N;?(-Subcosmop.);Xanthium italicum Moretti;;;;;;;x;x;x;x;;;2;0;0;0;0;-;+;-;;-;;-;-;;-;-;-;;;;;;+;;;;;-;-;;-;;-;;-;-;;;-;+;+;+;+;+;;;;+;+;+;;+;;+;+;;+;+;+;; - [Bidentetea tripartitae];(2.1), 2.2, 2.5;2;2;2;0;1;2;1;0;0;0;0;2;0;0;4;0;0;2
124.27.3;124;Asteraceae               ;27;Xanthium;3;spinosum;;;a;T;N;N;S-Am.(-Cosmop.);Xanthium spinosum L.;;;;;;;x;x;x;x;;;2;0;0;0;0;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;+;+;;+;+;-;-;;;-;-;;-;+;+;;;;;-;-;;+;;-;-;;D;-;+;; - [Sisymbrietalia];2.2, (2.4), 2.5.2, (2.7);2;2;2;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.27.1;124;Asteraceae               ;27;Xanthium;1;strumarium;;;a;T;N;Y;Eurasiat.(-Subcosmop.);Xanthium strumarium L.;;;;;;;x;x;x;x;;;2;0;0;0;0;-;+;D;+;-;-;+;-;+;-;-;-;-;;-;+;-;;-;-;+;;-;-;+;+;;+;+;D;-;+;;-;;+;-;+;+;+;+;;;+;+;;+;+;;+;;;-;;;(Stellarietea mediae);2.1, 2.2, 2.5.2;2;2;2;0;1;2;1;0;0;0;0;2;0;0;4;0;0;2
124.28.2;124;Asteraceae               ;28;Galinsoga;2;ciliata;;;a;T;N;N;S-Am.(-Cosmop.);Galinsoga ciliata (Raf.) S. F. Blake;;;;;x;x;x;x;x;x;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;;;+;+;;-;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;(Panico-Setarion);2.1.1, 2.2, 2.7;2;2;2;0;1;2;1;0;0;0;1;2;0;2;4;0;1;2
124.28.1;124;Asteraceae               ;28;Galinsoga;1;parviflora;;;a;T;N;N;S-Am.(-Cosmop.);Galinsoga parviflora Cav.;;;;;x;x;x;x;x;x;;;2;1;0;0;0;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;;-;;;+;+;-;;-;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;;+;+;+;+;(Panico-Setarion);2.1.1, 2.2, 2.7;1;2;2;0;1;2;1;0;0;0;0;0;0;1;2;0;2;4
124.30.9;124;Asteraceae               ;30;Anthemis;9;altissima;;;a;T;N;Y;S-Eur.;Anthemis altissima L.;;;;;x;x;x;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;+;+;+;-;-;+;;-;-;+;;+;-;-;+;;-;-;-;;-;;;-;;-;+;+;-;(Eragrostietalia);2.1, 2.2, (3.3, 6.2, 7.4.2);2;2;2;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.30.4.1;124;Asteraceae               ;30;Anthemis;4;arvensis;1;arvensis;a, b, (v);T, H;N;Y;Medit.;Anthemis arvensis L. subsp. arvensis;;;;;x;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;;+;+;+;;+;+;+;;+;+;;;+;+;+;+;;+;+;;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;(Centaureetalia cyani);2.1, 2.2;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.30.4.2;124;Asteraceae               ;30;Anthemis;4;arvensis;2;incrassata;a, (v);T, (H);N;Y;Medit.;Anthemis arvensis subsp. incrassata (Loisel.) Nyman;;;;;x;x;x;x;x;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;+;;+;-;-;+;;-;-;;;-;-;+;-;;-;;-;;-;;;+;-;;+;;-;(Stellarietea mediae);2.1, 2.2, 2.5.2, 6.2, 7.3;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.30.11;124;Asteraceae               ;30;Anthemis;11;austriaca;;;a, b;T, H;N;Y;SE-Eur.;Anthemis austriaca Jacq.;;;;;;x;x;x;x;;;;2;2;1;0;0;+;;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Stellarietea mediae);2.1, 2.2;2;1;0;1;2;1;0;0;0;2;4;2;1;2;1;0;0;0
124.30.1;124;Asteraceae               ;30;Anthemis;1;carpatica;;;v;H;N;Y;S-Eur.-Mont.;Anthemis carpatica Willd.;;;;;;;x;x;;;;;0;0;0;2;0;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Juncetea trifidi);3.2, 3.3, (6.5);0;0;2;1;2;1;0;0;0;0;0;0;2;1;0;4;2;0
124.30.6;124;Asteraceae               ;30;Anthemis;6;cotula;;;a;T;N;Y;Eurasiat.;Anthemis cotula L.;;;;;;x;x;x;x;;;;2;2;1;0;0;+;+;+;-;-;-;+;+;-;+;+;D;-;+;+;+;;+;-;;;;-;+;;-;+;+;+;+;D;+;;-;;+;+;+;+;;+;;+;;+;;+;+;;+;;;+;+;+;(Stellarienea mediae);2.1, 2.2;2;2;2;1;2;1;0;0;0;1;2;1;2;4;2;1;2;1
124.30.2;124;Asteraceae               ;30;Anthemis;2;cretica;;;v, (t);H, (C);N;Y;SW-Eur.-Mont.;Anthemis cretica L.;;;;;;x;x;x;;;;;0;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;;+;;;-;-;-;;-;-;-;-;-;-;+;-;;-;-;-;;-;;-;-;-;-;-;-;-;[Koelerio-Corynephoretea];3.2, 6.2;1;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
